ID,createdBy,createdAt,modifiedBy,modifiedAt,noteId,partner_ID,currency_code,grossAmount,netAmount,taxAmount,lifecycleStatus,approvalStatus,confirmStatus,orderingStatus,invoicingStatus
02BD2137-0890-1EEA-A6C2-BB55C1BBC7FB,james.smith@itelo.info,2020-01-01,rudolf.platte@itelo.info,2020-01-01,,02BD2137-0890-1EEA-A6C2-BB55C19BA7FB,EUR,13224.47,11113,2111.47,N,I,I,I,I
02BD2137-0890-1EEA-A6C2-BB55C1BBE7FB,al.wallace@itelo.info,2020-01-02,sally.spring@itelo.info,2020-01-02,,02BD2137-0890-1EEA-A6C2-BB55C19BE7FB,EUR,12493.73,10498.94,1994.79,N,I,I,I,I
02BD2137-0890-1EEA-A6C2-BB55C1BC07FB,frank.brown@itelo.info,2020-01-03,james.smith@itelo.info,2020-01-03,,02BD2137-0890-1EEA-A6C2-BB55C19C47FB,EUR,11666.69,9803.94,1862.75,C,A,S,I,D
02BD2137-0890-1EEA-A6C2-BB55C1BC27FB,james.field@itelo.info,2020-01-04,sue.bay@itelo.info,2020-01-04,,02BD2137-0890-1EEA-A6C2-BB55C19C67FB,EUR,16561.23,13917,2644.23,P,I,C,I,I
02BD2137-0890-1EEA-A6C2-BB55C1BC47FB,john.nicols@itelo.info,2020-01-05,peter.douglas@itelo.info,2020-01-05,,02BD2137-0890-1EEA-A6C2-BB55C19C67FB,EUR,12515.23,10517,1998.23,X,R,X,I,I
02BD2137-0890-1EEA-A6C2-BB55C1BC67FB,james.field@itelo.info,2020-01-06,anna.lerch@itelo.info,2020-01-06,,02BD2137-0890-1EEA-A6C2-BB55C19CA7FB,EUR,8368.08,7032,1336.08,C,A,S,I,D
02BD2137-0890-1EEA-A6C2-BB55C1BC87FB,john.dash@itelo.info,2020-01-07,rudolf.platte@itelo.info,2020-01-07,,02BD2137-0890-1EEA-A6C2-BB55C19C07FB,EUR,6146.19,5164.87,981.32,P,I,S,I,I
02BD2137-0890-1EEA-A6C2-BB55C1BCA7FB,fisher.richard@itelo.info,2020-01-08,clark.kent@itelo.info,2020-01-08,,02BD2137-0890-1EEA-A6C2-BB55C19C27FB,EUR,5720.31,4806.98,913.33,R,R,X,I,I
02BD2137-0890-1EEA-A6C2-BB55C1BCC7FB,john.dash@itelo.info,2020-01-09,john.smith@itelo.info,2020-01-09,,02BD2137-0890-1EEA-A6C2-BB55C19CC7FB,EUR,4444.17,3734.6,709.57,C,A,S,I,D
02BD2137-0890-1EEA-A6C2-BB55C1BCE7FB,hermann.hecker@itelo.info,2020-01-10,peter.fuchs@itelo.info,2020-01-10,,02BD2137-0890-1EEA-A6C2-BB55C19BA7FB,EUR,3453.38,2902,551.38,P,I,C,I,I
02BD2137-0890-1EEA-A6C2-BB55C1BD07FB,james.field@itelo.info,2020-01-11,john.dash@itelo.info,2020-01-11,,02BD2137-0890-1EEA-A6C2-BB55C19BE7FB,EUR,8150.94,6849.53,1301.41,N,I,I,I,I
02BD2137-0890-1EEA-A6C2-BB55C1BD27FB,catherine.jones@itelo.info,2020-01-12,clark.kent@itelo.info,2020-01-12,,02BD2137-0890-1EEA-A6C2-BB55C19C27FB,EUR,3040.41,2554.97,485.44,C,A,S,I,D
02BD2137-0890-1EEA-A6C2-BB55C1BD47FB,fisher.richard@itelo.info,2020-01-13,randy.gordon@itelo.info,2020-01-13,,02BD2137-0890-1EEA-A6C2-BB55C19C47FB,EUR,18986.39,15954.94,3031.45,P,I,S,I,I
02BD2137-0890-1EEA-A6C2-BB55C1BD67FB,sally.spring@itelo.info,2020-01-14,walter.winter@itelo.info,2020-01-14,,02BD2137-0890-1EEA-A6C2-BB55C19C67FB,EUR,23408.49,19671,3737.49,P,A,S,I,I
02BD2137-0890-1EEA-A6C2-BB55C1BD87FB,peter.douglas@itelo.info,2020-01-15,anna.lerch@itelo.info,2020-01-15,,02BD2137-0890-1EEA-A6C2-BB55C19C67FB,EUR,12515.23,10517,1998.23,R,R,X,I,I
02BD2137-0890-1EEA-A6C2-BB55C1BDA7FB,maria.hicks@itelo.info,2020-01-16,john.smith@itelo.info,2020-01-16,,02BD2137-0890-1EEA-A6C2-BB55C19CA7FB,EUR,9971.01,8379,1592.01,C,A,S,I,D
02BD2137-0890-1EEA-A6C2-BB55C1BDC7FB,karl.kessler@itelo.info,2020-01-17,james.smith@itelo.info,2020-01-17,,02BD2137-0890-1EEA-A6C2-BB55C19C27FB,EUR,1829.01,1536.98,292.03,N,I,I,I,I
02BD2137-0890-1EEA-A6C2-BB55C1BDE7FB,mary.watson@itelo.info,2020-01-18,megan.wang@itelo.info,2020-01-18,,02BD2137-0890-1EEA-A6C2-BB55C19C47FB,EUR,5055.11,4247.99,807.12,C,A,S,I,D
02BD2137-0890-1EEA-A6C2-BB55C1BE07FB,paul.burke@itelo.info,2020-01-19,walter.winter@itelo.info,2020-01-19,,02BD2137-0890-1EEA-A6C2-BB55C19BE7FB,EUR,2510.26,2109.47,400.79,C,A,S,I,D
02BD2137-0890-1EEA-A6C2-BB55C1BE27FB,fisher.richard@itelo.info,2020-01-20,maria.hicks@itelo.info,2020-01-20,,02BD2137-0890-1EEA-A6C2-BB55C19CC7FB,EUR,3974.12,3339.6,634.52,P,A,C,I,I
02BD2137-0890-1EEA-A6C2-BB55C1BE47FB,randy.gordon@itelo.info,2020-01-21,mary.watson@itelo.info,2020-01-21,,02BD2137-0890-1EEA-A6C2-BB55C19BA7FB,EUR,10329.2,8680,1649.2,C,A,S,I,D
02BD2137-0890-1EEA-A6C2-BB55C1BE67FB,smith.Drew@itelo.info,2020-01-22,jonathan.east@itelo.info,2020-01-22,,02BD2137-0890-1EEA-A6C2-BB55C19BE7FB,EUR,2153.64,1809.78,343.86,X,R,X,I,I
02BD2137-0890-1EEA-A6C2-BB55C1BE87FB,mary.watson@itelo.info,2020-01-23,peter.douglas@itelo.info,2020-01-23,,02BD2137-0890-1EEA-A6C2-BB55C19C67FB,EUR,14276.43,11997,2279.43,P,I,C,I,I
02BD2137-0890-1EEA-A6C2-BB55C1BEA7FB,john.smith@itelo.info,2020-01-24,franco.fall@itelo.info,2020-01-24,,02BD2137-0890-1EEA-A6C2-BB55C19CA7FB,EUR,3592.61,3019,573.61,P,I,C,I,I
02BD2137-0890-1EEA-A6C2-BB55C1BEC7FB,susan.summer@itelo.info,2020-01-25,michael.miller@itelo.info,2020-01-25,,02BD2137-0890-1EEA-A6C2-BB55C19C47FB,EUR,14640.47,12302.92,2337.55,R,R,X,I,I
02BD2137-0890-1EEA-A6C2-BB55C1BEE7FB,maria.hicks@itelo.info,2020-01-26,peter.fuchs@itelo.info,2020-01-26,,02BD2137-0890-1EEA-A6C2-BB55C19C07FB,EUR,16748.33,14074.23,2674.1,C,A,S,I,D
02BD2137-0890-1EEA-A6C2-BB55C1BF07FB,joanne.rush@itelo.info,2020-01-27,smith.Drew@itelo.info,2020-01-27,,02BD2137-0890-1EEA-A6C2-BB55C19C07FB,EUR,13053.03,10968.94,2084.09,N,I,I,I,I
02BD2137-0890-1EEA-A6C2-BB55C1BF27FB,sue.bay@itelo.info,2020-01-28,peter.douglas@itelo.info,2020-01-28,,02BD2137-0890-1EEA-A6C2-BB55C19C07FB,EUR,8555.55,7189.54,1366.01,X,R,X,I,I
02BD2137-0890-1EEA-A6C2-BB55C1BF47FB,megan.wang@itelo.info,2020-01-29,james.field@itelo.info,2020-01-29,,02BD2137-0890-1EEA-A6C2-BB55C19CA7FB,EUR,4977.77,4183,794.77,N,I,I,I,I
02BD2137-0890-1EEA-A6C2-BB55C1BF67FB,fisher.richard@itelo.info,2020-01-30,james.smith@itelo.info,2020-01-30,,02BD2137-0890-1EEA-A6C2-BB55C19C27FB,EUR,3180.85,2672.98,507.87,C,A,S,I,D
02BD2137-0890-1EEA-A6C2-BB55C1BF87FB,james.smith@itelo.info,2020-01-31,anna.lerch@itelo.info,2020-01-31,,02BD2137-0890-1EEA-A6C2-BB55C19C67FB,EUR,25366.04,21316,4050.04,X,R,X,I,I
02BD2137-0890-1EEA-A6C2-BB55C1BFA7FB,peter.fuchs@itelo.info,2020-02-01,james.smith@itelo.info,2020-02-01,,02BD2137-0890-1EEA-A6C2-BB55C19C27FB,EUR,3470,2915.97,554.03,N,I,I,I,I
02BD2137-0890-1EEA-A6C2-BB55C1BFC7FB,anna.lerch@itelo.info,2020-02-02,anna.lerch@itelo.info,2020-02-02,,02BD2137-0890-1EEA-A6C2-BB55C19C67FB,EUR,23589.37,19823,3766.37,C,A,S,I,D
02BD2137-0890-1EEA-A6C2-BB55C1BFE7FB,jonathan.east@itelo.info,2020-02-03,fisher.richard@itelo.info,2020-02-03,,02BD2137-0890-1EEA-A6C2-BB55C19CC7FB,EUR,4444.17,3734.6,709.57,X,R,X,I,I
02BD2137-0890-1EEA-A6C2-BB55C1C007FB,karl.kessler@itelo.info,2020-02-04,joanne.rush@itelo.info,2020-02-04,,02BD2137-0890-1EEA-A6C2-BB55C19BA7FB,EUR,3453.38,2902,551.38,C,A,S,I,D
02BD2137-0890-1EEA-A6C2-BB55C1C027FB,joanne.rush@itelo.info,2020-02-05,hermann.hecker@itelo.info,2020-02-05,,02BD2137-0890-1EEA-A6C2-BB55C19BE7FB,EUR,8150.94,6849.53,1301.41,X,R,X,I,I
02BD2137-0890-1EEA-A6C2-BB55C1C047FB,susan.summer@itelo.info,2020-02-06,peter.douglas@itelo.info,2020-02-06,,02BD2137-0890-1EEA-A6C2-BB55C19C07FB,EUR,4372.85,3674.67,698.18,R,R,X,I,I
02BD2137-0890-1EEA-A6C2-BB55C1C067FB,frank.brown@itelo.info,2020-02-07,barbara.ingalls@itelo.info,2020-02-07,,02BD2137-0890-1EEA-A6C2-BB55C19C47FB,EUR,18986.39,15954.94,3031.45,P,I,S,I,I
02BD2137-0890-1EEA-A6C2-BB55C1C087FB,susan.summer@itelo.info,2020-02-08,peter.douglas@itelo.info,2020-02-08,,02BD2137-0890-1EEA-A6C2-BB55C19C67FB,EUR,23408.49,19671,3737.49,N,I,I,I,I
02BD2137-0890-1EEA-A6C2-BB55C1C0A7FB,paul.burke@itelo.info,2020-02-09,joanne.rush@itelo.info,2020-02-09,,02BD2137-0890-1EEA-A6C2-BB55C19C67FB,EUR,12515.23,10517,1998.23,R,R,X,I,I
02BD2137-0890-1EEA-A6C2-BB55C1C0C7FB,michael.miller@itelo.info,2020-02-10,john.smith@itelo.info,2020-02-10,,02BD2137-0890-1EEA-A6C2-BB55C19CA7FB,EUR,9971.01,8379,1592.01,P,I,C,I,I
02BD2137-0890-1EEA-A6C2-BB55C1C0E7FB,catherine.jones@itelo.info,2020-02-11,michael.miller@itelo.info,2020-02-11,,02BD2137-0890-1EEA-A6C2-BB55C19C27FB,EUR,1829.01,1536.98,292.03,R,R,X,I,I
02BD2137-0890-1EEA-A6C2-BB55C1C107FB,megan.wang@itelo.info,2020-02-12,john.dash@itelo.info,2020-02-12,,02BD2137-0890-1EEA-A6C2-BB55C19BE7FB,EUR,3772.29,3169.99,602.3,R,R,X,I,I
02BD2137-0890-1EEA-A6C2-BB55C1C127FB,karl.kessler@itelo.info,2020-02-13,karl.kessler@itelo.info,2020-02-13,,02BD2137-0890-1EEA-A6C2-BB55C19C47FB,EUR,3729.42,3133.97,595.45,X,R,X,I,I
02BD2137-0890-1EEA-A6C2-BB55C1C147FB,randy.gordon@itelo.info,2020-02-14,smith.Drew@itelo.info,2020-02-14,,02BD2137-0890-1EEA-A6C2-BB55C19CC7FB,EUR,4878.64,4099.7,778.94,N,I,I,I,I
02BD2137-0890-1EEA-A6C2-BB55C1C167FB,fisher.richard@itelo.info,2020-02-15,james.field@itelo.info,2020-02-15,,02BD2137-0890-1EEA-A6C2-BB55C19BA7FB,EUR,9222.5,7750,1472.5,X,R,X,I,I
02BD2137-0890-1EEA-A6C2-BB55C1C187FB,susan.summer@itelo.info,2020-02-16,john.smith@itelo.info,2020-02-16,,02BD2137-0890-1EEA-A6C2-BB55C19BE7FB,EUR,3986.25,3349.79,636.46,X,R,X,I,I
02BD2137-0890-1EEA-A6C2-BB55C1C1A7FB,paul.burke@itelo.info,2020-02-17,franco.fall@itelo.info,2020-02-17,,02BD2137-0890-1EEA-A6C2-BB55C19CA7FB,EUR,3334.38,2802,532.38,R,R,X,I,I
02BD2137-0890-1EEA-A6C2-BB55C1C1C7FB,mary.watson@itelo.info,2020-02-18,al.wallace@itelo.info,2020-02-18,,02BD2137-0890-1EEA-A6C2-BB55C19C67FB,EUR,15898.4,13360,2538.4,X,R,X,I,I
02BD2137-0890-1EEA-A6C2-BB55C1C1E7FB,fisher.richard@itelo.info,2020-02-19,peter.douglas@itelo.info,2020-02-19,,02BD2137-0890-1EEA-A6C2-BB55C19C47FB,EUR,14320.39,12033.94,2286.45,P,A,C,I,I
02BD2137-0890-1EEA-A6C2-BB55C1C207FB,michael.miller@itelo.info,2020-02-20,james.smith@itelo.info,2020-02-20,,02BD2137-0890-1EEA-A6C2-BB55C19EE7FB,EUR,19189.94,16126,3063.94,P,I,C,I,I
02BD2137-0890-1EEA-A6C2-BB55C1C227FB,peter.douglas@itelo.info,2020-02-21,jonathan.east@itelo.info,2020-02-21,,02BD2137-0890-1EEA-A6C2-BB55C19EC7FB,EUR,327367.81,275099,52268.81,C,A,S,I,D
02BD2137-0890-1EEA-A6C2-BB55C1C247FB,john.smith@itelo.info,2020-02-22,megan.wang@itelo.info,2020-02-22,,02BD2137-0890-1EEA-A6C2-BB55C19E67FB,EUR,21399.77,17983,3416.77,C,A,S,I,D
02BD2137-0890-1EEA-A6C2-BB55C1C267FB,fisher.richard@itelo.info,2020-02-23,franco.fall@itelo.info,2020-02-23,,02BD2137-0890-1EEA-A6C2-BB55C19EA7FB,EUR,72391.27,60833,11558.27,X,R,X,I,I
02BD2137-0890-1EEA-A6C2-BB55C1C287FB,peter.fuchs@itelo.info,2020-02-24,hermann.hecker@itelo.info,2020-02-24,,02BD2137-0890-1EEA-A6C2-BB55C19EA7FB,EUR,125233.22,105238,19995.22,R,R,X,I,I
02BD2137-0890-1EEA-A6C2-BB55C1C2A7FB,john.nicols@itelo.info,2020-02-25,john.dash@itelo.info,2020-02-25,,02BD2137-0890-1EEA-A6C2-BB55C19E47FB,EUR,11030.11,9269,1761.11,X,R,X,I,I
